customer_id,signup_date,city,acquisition_channel,month
CUST000258,10-06-2025,Bengaluru,Organic,June
CUST000261,26-05-2025,Delhi,Organic,May
CUST000265,15-03-2025,Chennai,Organic,March
CUST000266,07-05-2025,Mumbai,Paid,May
CUST000268,03-02-2025,Delhi,Referral,February
CUST000269,14-02-2025,Delhi,Organic,February
CUST000270,13-01-2025,Kolkata,Organic,January
CUST000276,12-07-2025,Mumbai,Paid,July
CUST000278,02-03-2025,Chennai,Paid,March
CUST000279,22-02-2025,Bengaluru,Paid,February
CUST000280,05-04-2025,Hyderabad,Referral,April
CUST000281,10-01-2025,Delhi,Paid,January
CUST000282,12-06-2025,Hyderabad,Referral,June
CUST000284,27-06-2025,Ahmedabad,Organic,June
CUST000285,17-02-2025,Chennai,Paid,February
CUST000286,21-12-2024,Mumbai,Organic,December
CUST000289,14-01-2025,Bengaluru,Paid,January
CUST000291,01-01-2025,Delhi,Organic,January
CUST000293,26-01-2025,Delhi,Organic,January
CUST000295,22-07-2025,Bengaluru,Paid,July
CUST000300,18-06-2025,Chennai,Paid,June
CUST000302,22-12-2024,Delhi,Paid,December
CUST000305,28-11-2024,Delhi,Paid,November
CUST000306,08-03-2025,Chennai,Organic,March
CUST000307,13-04-2025,Pune,Organic,April
CUST000308,20-07-2025,Pune,Organic,July
CUST000309,14-03-2025,Ahmedabad,Organic,March
CUST000310,29-12-2024,Bengaluru,Social,December
CUST000312,25-07-2025,Delhi,Paid,July
CUST000313,25-12-2024,Hyderabad,Organic,December
CUST000314,09-08-2025,Hyderabad,Referral,August
CUST000317,21-03-2025,Ahmedabad,Organic,March
CUST000318,29-03-2025,Chennai,Organic,March
CUST000319,22-04-2025,Mumbai,Organic,April
CUST000320,09-01-2025,Ahmedabad,Organic,January
CUST000324,16-02-2025,Chennai,Organic,February
CUST000325,23-12-2024,Chennai,Social,December
CUST000326,10-02-2025,Bengaluru,Organic,February
CUST000328,13-03-2025,Delhi,Organic,March
CUST000329,18-03-2025,Bengaluru,Organic,March
CUST000331,28-03-2025,Mumbai,Organic,March
CUST000332,03-01-2025,Bengaluru,Organic,January
CUST000334,23-02-2025,Mumbai,Organic,February
CUST000335,27-05-2025,Ahmedabad,Organic,May
CUST000337,31-12-2024,Mumbai,Referral,December
CUST000338,26-06-2025,Bengaluru,Paid,June
CUST000339,28-02-2025,Ahmedabad,Paid,February
CUST000342,13-03-2025,Mumbai,Referral,March
CUST000345,22-01-2025,Bengaluru,Referral,January
CUST000346,28-11-2024,Hyderabad,Referral,November
CUST000348,22-03-2025,Hyderabad,Social,March
CUST000350,31-01-2025,Hyderabad,Organic,January
CUST000351,03-05-2025,Bengaluru,Paid,May
CUST000353,21-12-2024,Ahmedabad,Organic,December
CUST000354,30-12-2024,Chennai,Organic,December
CUST000356,02-02-2025,Bengaluru,Paid,February
CUST000357,24-05-2025,Mumbai,Organic,May
CUST000361,07-05-2025,Chennai,Organic,May
CUST000363,13-02-2025,Bengaluru,Organic,February
CUST000364,17-01-2025,Bengaluru,Organic,January
CUST000365,20-02-2025,Delhi,Organic,February
CUST000366,26-01-2025,Bengaluru,Organic,January
CUST000369,15-04-2025,Chennai,Paid,April
CUST000371,24-02-2025,Delhi,Organic,February
CUST000373,20-04-2025,Bengaluru,Organic,April
CUST000374,09-06-2025,Hyderabad,Paid,June
CUST000376,03-08-2025,Bengaluru,Social,August
CUST000377,03-03-2025,Chennai,Social,March
CUST000386,15-02-2025,Pune,Organic,February
CUST000388,23-02-2025,Ahmedabad,Referral,February
CUST000389,06-06-2025,Chennai,Paid,June
CUST000391,14-12-2024,Kolkata,Organic,December
CUST000394,08-01-2025,Mumbai,Organic,January
CUST000395,13-12-2024,Bengaluru,Organic,December
CUST000396,10-08-2025,Pune,Paid,August
CUST000397,01-03-2025,Pune,Referral,March
CUST000398,03-03-2025,Kolkata,Organic,March
CUST000399,03-02-2025,Delhi,Paid,February
CUST000400,21-12-2024,Bengaluru,Referral,December
CUST000401,25-12-2024,Mumbai,Organic,December
CUST000402,18-05-2025,Bengaluru,Organic,May
CUST000403,02-08-2025,Bengaluru,Paid,August
CUST000404,02-04-2025,Bengaluru,Social,April
CUST000407,08-01-2025,Bengaluru,Paid,January
CUST000408,21-12-2024,Pune,Organic,December
CUST000409,17-03-2025,Chennai,Organic,March
CUST000413,24-03-2025,Delhi,Referral,March
CUST000414,21-12-2024,Ahmedabad,Paid,December
CUST000418,22-03-2025,Mumbai,Organic,March
CUST000419,19-12-2024,Bengaluru,Referral,December
CUST000420,04-01-2025,Kolkata,Organic,January
CUST000421,09-03-2025,Hyderabad,Referral,March
CUST000423,25-01-2025,Mumbai,Organic,January
CUST000424,18-02-2025,Ahmedabad,Organic,February
CUST000425,22-02-2025,Bengaluru,Organic,February
CUST000426,16-06-2025,Mumbai,Paid,June
CUST000427,18-03-2025,Mumbai,Paid,March
CUST000428,13-05-2025,Bengaluru,Referral,May
CUST000430,19-01-2025,Bengaluru,Referral,January
CUST000431,29-06-2025,Mumbai,Paid,June
CUST000432,28-07-2025,Bengaluru,Organic,July
CUST000433,16-03-2025,Chennai,Social,March
CUST000434,08-12-2024,Kolkata,Social,December
CUST000435,04-12-2024,Bengaluru,Paid,December
CUST000437,23-03-2025,Delhi,Paid,March
CUST000442,27-03-2025,Bengaluru,Organic,March
CUST000443,02-02-2025,Kolkata,Organic,February
CUST000445,22-02-2025,Mumbai,Organic,February
CUST000447,29-08-2025,Mumbai,Paid,August
CUST000448,19-04-2025,Mumbai,Referral,April
CUST000451,15-05-2025,Bengaluru,Social,May
CUST000452,09-11-2024,Bengaluru,Organic,November
CUST000453,14-02-2025,Bengaluru,Organic,February
CUST000454,07-12-2024,Bengaluru,Social,December
CUST000455,20-02-2025,Bengaluru,Paid,February
CUST000456,23-04-2025,Chennai,Organic,April
CUST000459,17-05-2025,Bengaluru,Organic,May
CUST000461,21-01-2025,Hyderabad,Paid,January
CUST000462,04-12-2024,Hyderabad,Referral,December
CUST000464,24-03-2025,Delhi,Organic,March
CUST000465,18-02-2025,Mumbai,Organic,February
CUST000466,19-02-2025,Mumbai,Organic,February
CUST000468,20-12-2024,Bengaluru,Paid,December
CUST000469,14-02-2025,Mumbai,Organic,February
CUST000470,05-02-2025,Ahmedabad,Paid,February
CUST000475,15-12-2024,Delhi,Organic,December
CUST000479,16-02-2025,Ahmedabad,Paid,February
CUST000480,15-02-2025,Pune,Paid,February
CUST000482,10-03-2025,Hyderabad,Social,March
CUST000486,26-03-2025,Hyderabad,Organic,March
CUST000488,23-01-2025,Bengaluru,Organic,January
CUST000490,30-08-2025,Hyderabad,Paid,August
CUST000492,17-12-2024,Mumbai,Referral,December
CUST000495,27-01-2025,Mumbai,Organic,January
CUST000499,27-12-2024,Bengaluru,Organic,December
CUST000501,04-02-2025,Bengaluru,Referral,February
CUST000502,07-04-2025,Delhi,Paid,April
CUST000504,03-02-2025,Bengaluru,Organic,February
CUST000505,05-01-2025,Bengaluru,Organic,January
CUST000507,22-12-2024,Pune,Referral,December
CUST000509,23-12-2024,Mumbai,Organic,December
CUST000510,25-02-2025,Bengaluru,Referral,February
CUST000511,31-05-2025,Ahmedabad,Organic,May
CUST000515,28-05-2025,Pune,Referral,May
CUST000517,23-02-2025,Delhi,Organic,February
CUST000519,07-04-2025,Delhi,Organic,April
CUST000520,21-03-2025,Bengaluru,Social,March
CUST000521,08-12-2024,Hyderabad,Organic,December
CUST000522,24-12-2024,Hyderabad,Organic,December
CUST000523,25-11-2024,Mumbai,Organic,November
CUST000524,04-03-2025,Hyderabad,Referral,March
CUST000525,11-02-2025,Bengaluru,Referral,February
CUST000526,30-12-2024,Bengaluru,Paid,December
CUST000531,30-01-2025,Mumbai,Organic,January
CUST000536,07-05-2025,Bengaluru,Organic,May
CUST000538,22-02-2025,Mumbai,Organic,February
CUST000539,19-12-2024,Bengaluru,Organic,December
CUST000540,21-12-2024,Delhi,Organic,December
CUST000542,28-01-2025,Chennai,Organic,January
CUST000545,21-02-2025,Mumbai,Referral,February
CUST000546,19-08-2025,Hyderabad,Social,August
CUST000547,17-04-2025,Hyderabad,Organic,April
CUST000549,08-03-2025,Mumbai,Social,March
CUST000554,02-02-2025,Pune,Paid,February
CUST000558,04-05-2025,Bengaluru,Organic,May
CUST000559,05-04-2025,Hyderabad,Organic,April
CUST000561,03-04-2025,Mumbai,Organic,April
CUST000563,09-03-2025,Mumbai,Paid,March
CUST000564,30-03-2025,Ahmedabad,Organic,March
CUST000565,11-03-2025,Delhi,Organic,March
CUST000566,25-05-2025,Hyderabad,Paid,May
CUST000567,14-04-2025,Ahmedabad,Referral,April
CUST000568,07-09-2025,Mumbai,Referral,September
CUST000569,29-06-2025,Bengaluru,Paid,June
CUST000570,01-01-2025,Chennai,Paid,January
CUST000572,06-05-2025,Chennai,Organic,May
CUST000574,12-02-2025,Mumbai,Organic,February
CUST000575,29-12-2024,Delhi,Organic,December
CUST000577,22-03-2025,Bengaluru,Organic,March
CUST000578,31-03-2025,Ahmedabad,Paid,March
CUST000579,08-02-2025,Mumbai,Referral,February
CUST000581,28-02-2025,Chennai,Organic,February
CUST000584,02-02-2025,Bengaluru,Paid,February
CUST000585,31-01-2025,Delhi,Organic,January
CUST000586,19-12-2024,Delhi,Referral,December
CUST000587,05-03-2025,Delhi,Organic,March
CUST000588,22-07-2025,Bengaluru,Paid,July
CUST000589,04-03-2025,Bengaluru,Organic,March
CUST000590,05-03-2025,Bengaluru,Organic,March
CUST000593,26-12-2024,Hyderabad,Organic,December
CUST000596,08-01-2025,Mumbai,Paid,January
CUST000598,03-02-2025,Pune,Organic,February
CUST000599,09-06-2025,Chennai,Organic,June
CUST000600,23-04-2025,Chennai,Referral,April
CUST000602,18-04-2025,Mumbai,Referral,April
CUST000603,02-01-2025,Bengaluru,Paid,January
CUST000604,12-02-2025,Ahmedabad,Referral,February
CUST000606,23-01-2025,Hyderabad,Organic,January
CUST000609,20-04-2025,Mumbai,Paid,April
CUST000610,15-05-2025,Mumbai,Organic,May
CUST000611,02-05-2025,Bengaluru,Organic,May
CUST000612,10-04-2025,Delhi,Paid,April
CUST000613,23-03-2025,Ahmedabad,Referral,March
CUST000615,03-12-2024,Bengaluru,Organic,December
CUST000620,03-12-2024,Chennai,Organic,December
CUST000622,12-05-2025,Bengaluru,Organic,May
CUST000623,10-03-2025,Bengaluru,Organic,March
CUST000624,06-06-2025,Delhi,Paid,June
CUST000626,26-02-2025,Mumbai,Social,February
CUST000630,19-12-2024,Bengaluru,Organic,December
CUST000631,10-01-2025,Mumbai,Paid,January
CUST000635,29-11-2024,Delhi,Paid,November
CUST000637,07-01-2025,Hyderabad,Organic,January
CUST000638,09-12-2024,Bengaluru,Organic,December
CUST000641,21-02-2025,Delhi,Referral,February
CUST000644,25-02-2025,Kolkata,Organic,February
CUST000645,18-12-2024,Bengaluru,Organic,December
CUST000648,13-02-2025,Mumbai,Referral,February
CUST000651,14-09-2025,Hyderabad,Paid,September
CUST000652,30-03-2025,Mumbai,Organic,March
CUST000655,19-02-2025,Chennai,Organic,February
CUST000656,15-04-2025,Ahmedabad,Paid,April
CUST000658,01-02-2025,Mumbai,Organic,February
CUST000660,14-02-2025,Bengaluru,Referral,February
CUST000665,10-11-2024,Bengaluru,Referral,November
CUST000666,19-01-2025,Ahmedabad,Organic,January
CUST000667,12-11-2024,Pune,Organic,November
CUST000669,04-08-2025,Pune,Paid,August
CUST000670,13-04-2025,Kolkata,Organic,April
CUST000672,03-12-2024,Pune,Paid,December
CUST000674,18-11-2024,Delhi,Paid,November
CUST000675,15-01-2025,Bengaluru,Organic,January
CUST000676,23-07-2025,Bengaluru,Social,July
CUST000678,05-01-2025,Delhi,Social,January
CUST000681,15-04-2025,Bengaluru,Social,April
CUST000682,20-12-2024,Mumbai,Social,December
CUST000684,27-01-2025,Delhi,Referral,January
CUST000685,15-01-2025,Mumbai,Referral,January
CUST000686,02-04-2025,Bengaluru,Social,April
CUST000687,11-07-2025,Ahmedabad,Organic,July
CUST000692,11-12-2024,Chennai,Organic,December
CUST000694,27-06-2025,Bengaluru,Organic,June
CUST000695,07-12-2024,Hyderabad,Referral,December
CUST000696,01-05-2025,Pune,Organic,May
CUST000698,21-12-2024,Pune,Organic,December
CUST000699,25-03-2025,Pune,Organic,March
CUST000700,09-07-2025,Pune,Referral,July
CUST000703,23-12-2024,Mumbai,Organic,December
CUST000704,13-02-2025,Chennai,Organic,February
CUST000705,05-01-2025,Bengaluru,Organic,January
CUST000706,01-03-2025,Mumbai,Social,March
CUST000710,19-01-2025,Mumbai,Organic,January
CUST000711,26-04-2025,Delhi,Referral,April
CUST000712,04-03-2025,Hyderabad,Organic,March
CUST000714,10-05-2025,Kolkata,Organic,May
CUST000715,27-01-2025,Bengaluru,Referral,January
CUST000716,29-12-2024,Mumbai,Organic,December
CUST000718,11-04-2025,Bengaluru,Referral,April
CUST000719,09-01-2025,Hyderabad,Organic,January
CUST000720,05-01-2025,Delhi,Social,January
CUST000721,17-02-2025,Chennai,Organic,February
CUST000722,30-06-2025,Bengaluru,Social,June
CUST000724,23-04-2025,Pune,Organic,April
CUST000727,19-11-2024,Mumbai,Social,November
CUST000729,20-01-2025,Mumbai,Organic,January
CUST000733,10-01-2025,Delhi,Organic,January
CUST000736,02-01-2025,Mumbai,Paid,January
CUST000739,22-02-2025,Pune,Organic,February
CUST000741,15-03-2025,Chennai,Organic,March
CUST000742,13-12-2024,Bengaluru,Organic,December
CUST000743,27-02-2025,Ahmedabad,Organic,February
CUST000744,17-04-2025,Kolkata,Social,April
CUST000745,07-05-2025,Pune,Organic,May
CUST000747,16-03-2025,Ahmedabad,Paid,March
CUST000748,21-12-2024,Chennai,Organic,December
CUST000749,12-03-2025,Chennai,Organic,March
CUST000750,10-05-2025,Mumbai,Paid,May
CUST000752,06-08-2025,Mumbai,Paid,August
CUST000753,15-12-2024,Chennai,Referral,December
CUST000754,17-01-2025,Chennai,Organic,January
CUST000756,06-07-2025,Delhi,Paid,July
CUST000757,19-08-2025,Bengaluru,Organic,August
CUST000758,27-07-2025,Pune,Paid,July
CUST000759,03-06-2025,Mumbai,Paid,June
CUST000762,19-11-2024,Ahmedabad,Social,November
CUST000763,17-01-2025,Hyderabad,Organic,January
CUST000765,08-06-2025,Bengaluru,Referral,June
CUST000767,07-02-2025,Mumbai,Organic,February
CUST000768,06-06-2025,Ahmedabad,Paid,June
CUST000770,06-03-2025,Hyderabad,Organic,March
CUST000771,16-01-2025,Bengaluru,Paid,January
CUST000772,26-03-2025,Bengaluru,Referral,March
CUST000774,04-01-2025,Delhi,Organic,January
CUST000777,26-03-2025,Delhi,Referral,March
CUST000778,19-03-2025,Hyderabad,Organic,March
CUST000780,27-12-2024,Pune,Organic,December
CUST000781,24-03-2025,Delhi,Organic,March
CUST000783,06-04-2025,Kolkata,Organic,April
CUST000788,23-01-2025,Bengaluru,Referral,January
CUST000789,11-03-2025,Kolkata,Organic,March
CUST000791,15-03-2025,Hyderabad,Organic,March
CUST000792,19-12-2024,Delhi,Referral,December
CUST000793,28-02-2025,Mumbai,Organic,February
CUST000794,13-03-2025,Chennai,Organic,March
CUST000795,09-01-2025,Mumbai,Organic,January
CUST000797,03-12-2024,Pune,Paid,December
CUST000799,17-01-2025,Bengaluru,Organic,January
CUST000802,23-04-2025,Ahmedabad,Referral,April
CUST000804,01-08-2025,Bengaluru,Organic,August
CUST000807,31-08-2025,Bengaluru,Paid,August
CUST000808,18-07-2025,Mumbai,Paid,July
CUST000809,26-12-2024,Mumbai,Organic,December
CUST000812,25-01-2025,Delhi,Paid,January
CUST000813,09-07-2025,Bengaluru,Paid,July
CUST000814,05-01-2025,Bengaluru,Organic,January
CUST000816,15-12-2024,Hyderabad,Referral,December
CUST000817,19-01-2025,Mumbai,Referral,January
CUST000820,21-05-2025,Bengaluru,Social,May
CUST000822,02-09-2025,Kolkata,Referral,September
CUST000826,12-12-2024,Ahmedabad,Paid,December
CUST000830,01-01-2025,Mumbai,Organic,January
CUST000835,24-02-2025,Bengaluru,Paid,February
CUST000836,11-05-2025,Bengaluru,Organic,May
CUST000837,22-01-2025,Mumbai,Social,January
CUST000841,03-07-2025,Hyderabad,Social,July
CUST000842,27-02-2025,Bengaluru,Organic,February
CUST000844,17-01-2025,Mumbai,Organic,January
CUST000845,16-12-2024,Ahmedabad,Organic,December
CUST000847,05-02-2025,Chennai,Organic,February
CUST000850,21-12-2024,Mumbai,Organic,December
CUST000852,08-03-2025,Pune,Organic,March
CUST000856,24-03-2025,Hyderabad,Organic,March
CUST000857,30-05-2025,Kolkata,Social,May
CUST000858,07-07-2025,Chennai,Organic,July
CUST000862,27-04-2025,Bengaluru,Organic,April
CUST000864,30-01-2025,Bengaluru,Referral,January
CUST000865,24-03-2025,Mumbai,Organic,March
CUST000866,30-12-2024,Delhi,Organic,December
CUST000867,23-02-2025,Delhi,Organic,February
CUST000870,16-05-2025,Delhi,Organic,May
CUST000871,28-12-2024,Hyderabad,Social,December
CUST000872,18-01-2025,Bengaluru,Paid,January
CUST000874,12-03-2025,Mumbai,Paid,March
CUST000879,26-12-2024,Hyderabad,Organic,December
CUST000880,24-01-2025,Bengaluru,Paid,January
CUST000881,06-07-2025,Mumbai,Social,July
CUST000882,01-07-2025,Bengaluru,Referral,July
CUST000884,13-01-2025,Delhi,Referral,January
CUST000888,21-08-2025,Bengaluru,Social,August
CUST000889,02-07-2025,Bengaluru,Paid,July
CUST000892,02-01-2025,Bengaluru,Social,January
CUST000893,23-01-2025,Delhi,Social,January
CUST000894,25-12-2024,Hyderabad,Organic,December
CUST000896,05-05-2025,Bengaluru,Organic,May
CUST000897,06-05-2025,Delhi,Social,May
CUST000900,15-01-2025,Delhi,Organic,January
CUST000901,17-12-2024,Mumbai,Referral,December
CUST000905,19-12-2024,Pune,Organic,December
CUST000906,19-12-2024,Ahmedabad,Organic,December
CUST000907,17-01-2025,Mumbai,Referral,January
CUST000908,27-12-2024,Chennai,Referral,December
CUST000909,13-01-2025,Kolkata,Organic,January
CUST000910,25-12-2024,Chennai,Organic,December
CUST000911,07-02-2025,Bengaluru,Organic,February
CUST000912,01-02-2025,Mumbai,Paid,February
CUST000914,07-08-2025,Mumbai,Social,August
CUST000915,26-01-2025,Ahmedabad,Referral,January
CUST000917,02-04-2025,Bengaluru,Organic,April
CUST000920,11-03-2025,Pune,Organic,March
CUST000921,20-03-2025,Ahmedabad,Referral,March
CUST000922,01-01-2025,Mumbai,Organic,January
CUST000923,28-12-2024,Pune,Organic,December
CUST000924,24-02-2025,Chennai,Referral,February
CUST000926,28-01-2025,Delhi,Referral,January
CUST000927,20-01-2025,Ahmedabad,Social,January
CUST000929,27-03-2025,Ahmedabad,Social,March
CUST000930,31-12-2024,Bengaluru,Social,December
CUST000931,08-12-2024,Bengaluru,Organic,December
CUST000935,08-12-2024,Pune,Social,December
CUST000936,31-03-2025,Chennai,Referral,March
CUST000937,14-01-2025,Kolkata,Social,January
CUST000945,17-08-2025,Pune,Social,August
CUST000946,11-01-2025,Bengaluru,Paid,January
CUST000949,19-04-2025,Bengaluru,Organic,April
CUST000950,23-11-2024,Mumbai,Organic,November
CUST000951,08-04-2025,Ahmedabad,Organic,April
CUST000953,17-02-2025,Kolkata,Referral,February
CUST000954,01-01-2025,Bengaluru,Paid,January
CUST000958,28-11-2024,Delhi,Organic,November
CUST000960,07-09-2025,Bengaluru,Paid,September
CUST000961,25-03-2025,Bengaluru,Organic,March
CUST000962,02-05-2025,Pune,Organic,May
CUST000963,30-03-2025,Pune,Organic,March
CUST000964,16-01-2025,Ahmedabad,Organic,January
CUST000967,21-03-2025,Bengaluru,Referral,March
CUST000968,14-07-2025,Delhi,Paid,July
CUST000974,11-01-2025,Chennai,Organic,January
CUST000975,20-05-2025,Chennai,Paid,May
CUST000976,20-07-2025,Bengaluru,Paid,July
CUST000979,31-03-2025,Bengaluru,Social,March
CUST000980,10-12-2024,Bengaluru,Organic,December
CUST000981,18-01-2025,Bengaluru,Referral,January
CUST000982,23-05-2025,Ahmedabad,Organic,May
CUST000984,16-04-2025,Bengaluru,Organic,April
CUST000986,01-02-2025,Hyderabad,Organic,February
CUST000990,18-02-2025,Kolkata,Organic,February
CUST000991,17-03-2025,Bengaluru,Referral,March
CUST000992,02-02-2025,Mumbai,Organic,February
CUST000993,11-04-2025,Hyderabad,Referral,April
CUST000994,07-02-2025,Kolkata,Referral,February
CUST000998,01-12-2024,Mumbai,Paid,December
CUST001000,08-05-2025,Mumbai,Paid,May
CUST001005,23-05-2025,Bengaluru,Organic,May
CUST001006,28-03-2025,Bengaluru,Organic,March
CUST001007,16-06-2025,Chennai,Paid,June
CUST001008,10-07-2025,Mumbai,Social,July
CUST001015,18-12-2024,Hyderabad,Organic,December
CUST001016,11-01-2025,Chennai,Social,January
CUST001017,11-03-2025,Chennai,Organic,March
CUST001019,25-02-2025,Mumbai,Paid,February
CUST001020,03-02-2025,Ahmedabad,Social,February
CUST001021,16-01-2025,Delhi,Referral,January
CUST001022,24-12-2024,Kolkata,Paid,December
CUST001024,11-02-2025,Pune,Organic,February
CUST001025,23-07-2025,Pune,Social,July
CUST001026,27-04-2025,Mumbai,Paid,April
CUST001029,11-12-2024,Bengaluru,Organic,December
CUST001031,16-05-2025,Delhi,Social,May
CUST001033,18-08-2025,Bengaluru,Paid,August
CUST001035,15-02-2025,Mumbai,Paid,February
CUST001036,18-06-2025,Bengaluru,Social,June
CUST001039,24-01-2025,Pune,Paid,January
CUST001046,14-04-2025,Delhi,Organic,April
CUST001047,01-12-2024,Delhi,Organic,December
CUST001048,03-03-2025,Kolkata,Organic,March
