order_id,customer_id,restaurant_id,delivery_partner_id,order_timestamp,subtotal_amount,discount_amount,delivery_fee,total_amount,is_cod,is_cancelled
ORD202501019201,CUST045690,REST15289,DP09316,01-01-2025 12.42,240.18,21.96,27.67,245.89,Y,N
ORD202501016418,CUST048710,REST01696,DP07942,01-01-2025 12.43,375.11,0,32.85,407.96,N,N
ORD202501007798,CUST070900,REST15207,DP00239,01-01-2025 12.43,406.99,53.42,28.35,381.92,N,N
ORD202501009148,CUST038125,REST09335,DP10749,01-01-2025 12.44,230.05,0,24.24,254.29,Y,N
ORD202501012777,CUST071461,REST14773,DP08710,01-01-2025 12.44,300.68,0,20.87,321.56,N,N
ORD202501006131,CUST017025,REST08536,DP06199,01-01-2025 12.45,355.25,0,31.79,387.05,N,N
ORD202501012929,CUST000575,REST00234,DP08431,01-01-2025 12.45,315.34,71.68,25.32,268.99,N,N
ORD202501000787,CUST171351,REST13684,DP12883,01-01-2025 12.46,304.79,40.83,29.32,293.28,N,N
ORD202501012320,CUST073529,REST01931,DP09730,01-01-2025 12.46,149.3,20.34,44.57,173.52,N,N
ORD202501018590,CUST044921,REST13131,,01-01-2025 12.48,0,0,0,0,N,Y
ORD202501014786,CUST046485,REST11047,DP06741,01-01-2025 12.48,603.75,0,41.58,645.33,Y,N
ORD202501008628,CUST032687,REST13925,DP12304,01-01-2025 12.48,310.91,0,40.04,350.96,N,N
ORD202501011828,CUST117732,REST01765,DP08383,01-01-2025 12.48,307.86,53.16,31.86,286.57,N,N
ORD202501013743,CUST039764,REST08774,,01-01-2025 12.48,0,0,0,0,N,Y
ORD202501004720,CUST004603,REST15708,DP08105,01-01-2025 12.48,320.98,25.74,33.9,329.14,Y,N
ORD202501021095,CUST007630,REST07188,DP08216,01-01-2025 12.50,440.26,61.92,43.13,421.47,N,N
ORD202501012443,CUST165195,REST01627,DP11517,01-01-2025 12.50,255.8,59.16,30.12,226.76,N,N
ORD202501013823,CUST110292,REST03932,DP09801,01-01-2025 12.51,418.8,0,20.19,438.99,N,N
ORD202501009946,CUST114779,REST14408,DP14440,01-01-2025 12.53,294.74,55.74,40.43,279.42,Y,N
ORD202501010477,CUST027575,REST11261,DP12883,01-01-2025 12.53,162.42,0,29.88,192.3,N,N
ORD202501010107,CUST077418,REST04195,DP01217,01-01-2025 12.54,542.83,0,38.44,581.27,N,N
ORD202501017028,CUST132148,REST02744,DP13391,01-01-2025 12.54,161.37,0,28.99,190.36,N,N
ORD202501004956,CUST033233,REST00341,DP12919,01-01-2025 12.54,272.12,58.82,29.2,242.51,Y,N
ORD202501002374,CUST132015,REST00488,DP00437,01-01-2025 12.54,412.3,0,26.56,438.85,N,N
ORD202501008410,CUST066826,REST04267,DP12561,01-01-2025 12.55,341.26,25.45,40.14,355.95,N,N
ORD202501024004,CUST140527,REST13448,DP05019,01-01-2025 12.55,255.29,42,43.36,256.65,N,N
ORD202501005758,CUST101318,REST13279,DP06832,01-01-2025 12.56,153.04,30.59,31.26,153.71,N,N
ORD202501020301,CUST044059,REST19787,DP00398,01-01-2025 12.57,167.86,11.41,34.63,191.07,N,N
ORD202501007244,CUST160351,REST15489,DP03778,01-01-2025 12.58,145.76,0,31.38,177.14,N,N
ORD202501000762,CUST164889,REST01206,DP11426,01-01-2025 12.58,412.27,0,38.81,451.08,N,N
ORD202501012715,CUST058128,REST00655,DP01740,01-01-2025 12.58,316.56,0,35.69,352.25,Y,N
ORD202501007720,CUST193746,REST07298,DP00001,01-01-2025 12.59,239.41,0,32.63,272.04,N,N
ORD202501000702,CUST177105,REST08940,DP14237,01-01-2025 12.59,344.89,0,21.69,366.57,Y,N
ORD202501006680,CUST005378,REST17592,DP11242,01-01-2025 13.00,200.54,28.69,41.08,212.94,Y,N
ORD202501008051,CUST042401,REST15228,DP03809,01-01-2025 13.01,183.19,0,42.13,225.32,N,N
ORD202501002580,CUST087062,REST03377,DP02206,01-01-2025 13.01,429.84,72,29.18,387.01,Y,N
ORD202501024879,CUST145471,REST16384,DP13772,01-01-2025 13.01,525.12,47.27,37.79,515.64,Y,N
ORD202501011502,CUST164001,REST10562,DP08640,01-01-2025 13.02,142.62,12.41,35.61,165.81,N,N
ORD202501022955,CUST085326,REST04715,DP13852,01-01-2025 13.02,408.5,0,23.9,432.4,N,N
ORD202501000539,CUST000075,REST09707,DP05845,01-01-2025 13.02,294.42,0,27.64,322.06,N,N
ORD202501018894,CUST015015,REST08408,DP13121,01-01-2025 13.02,548.51,0,38.45,586.96,N,N
ORD202501010897,CUST101229,REST13221,DP06238,01-01-2025 13.03,301.91,74.19,29.96,257.68,N,N
ORD202501016811,CUST130052,REST03725,DP02795,01-01-2025 13.03,403.13,63.44,41.6,381.29,N,N
ORD202501001923,CUST030938,REST05770,DP06738,01-01-2025 13.03,281.06,0,44.19,325.25,N,N
ORD202501023942,CUST016056,REST02485,DP02677,01-01-2025 13.04,323.09,0,32.19,355.28,N,N
ORD202501020256,CUST074371,REST10243,DP11383,01-01-2025 13.04,160.08,0,20.21,180.29,N,N
ORD202501022770,CUST033879,REST04866,DP09346,01-01-2025 13.05,161.62,26.19,27.82,163.25,N,N
ORD202501011017,CUST046648,REST07174,DP01238,01-01-2025 13.05,385.66,0,30.99,416.65,Y,N
ORD202501010196,CUST130325,REST08892,DP12235,01-01-2025 13.08,180.75,41.44,36.61,175.92,N,N
ORD202501015561,CUST060932,REST00142,DP11594,01-01-2025 13.08,244.99,35.52,35.76,245.23,N,N
ORD202501020570,CUST184135,REST07961,DP04616,01-01-2025 13.09,400.08,0,29.17,429.25,N,N
ORD202501017580,CUST132517,REST16407,DP01366,01-01-2025 13.09,390.03,0,33.31,423.34,N,N
ORD202501023598,CUST158738,REST17061,DP12916,01-01-2025 13.10,146.29,9.07,27.7,164.92,N,N
ORD202501005605,CUST034769,REST13751,DP05524,01-01-2025 13.11,280.85,0,21.26,302.11,Y,N
ORD202501015959,CUST185143,REST11694,DP01114,01-01-2025 13.12,247.53,0,30.58,278.11,Y,N
ORD202501001768,CUST033879,REST04215,DP13768,01-01-2025 13.12,386.26,0,42.56,428.82,N,N
ORD202501001974,CUST172358,REST17863,DP04127,01-01-2025 13.13,580.16,0,35.88,616.04,N,N
ORD202501003708,CUST054718,REST03703,DP09586,01-01-2025 13.13,204.87,14.51,42.3,232.66,Y,N
ORD202501003843,CUST057576,REST09606,DP06383,01-01-2025 13.13,504.18,70.8,34.68,468.06,Y,N
ORD202501024447,CUST122665,REST11086,DP10807,01-01-2025 13.13,350.26,28.73,42.89,364.42,N,N
ORD202501014062,CUST175642,REST13407,DP01828,01-01-2025 13.13,194.01,27.36,28.08,194.73,N,N
ORD202501014818,CUST169134,REST08966,DP04469,01-01-2025 13.14,436.37,30.34,41.64,447.67,N,N
ORD202501022192,CUST014558,REST08861,DP10063,01-01-2025 13.14,259.02,0,20.89,279.91,Y,N
ORD202501014626,CUST092106,REST07347,DP02507,01-01-2025 13.14,288.44,0,20.81,309.25,N,N
ORD202501021342,CUST063459,REST14756,DP13817,01-01-2025 13.15,331.27,0,39.07,370.34,N,N
ORD202501000483,CUST041614,REST12429,DP01947,01-01-2025 13.15,155.24,0,35.86,191.1,Y,N
ORD202501014713,CUST064908,REST16687,DP14074,01-01-2025 13.15,322.19,49.08,31.84,304.95,N,N
ORD202501021914,CUST155004,REST07309,DP07410,01-01-2025 13.16,215,0,31.61,246.61,N,N
ORD202501000834,CUST005487,REST05482,DP13135,01-01-2025 13.17,272.43,32.42,23.44,263.46,N,N
ORD202501009861,CUST059928,REST00677,DP07367,01-01-2025 13.17,314.57,0,23.76,338.33,N,N
ORD202501001257,CUST183068,REST17039,DP14357,01-01-2025 13.17,270.03,21.83,30.19,278.39,Y,N
ORD202501001195,CUST102604,REST03713,DP02217,01-01-2025 13.18,131.07,0,37.82,168.9,N,N
ORD202501006915,CUST111200,REST07971,DP11743,01-01-2025 13.18,173.41,0,35.81,209.23,Y,N
ORD202501005965,CUST097831,REST11012,DP05853,01-01-2025 13.18,179.76,0,31.1,210.86,N,N
ORD202501023569,CUST092721,REST03459,DP03159,01-01-2025 13.19,589.07,0,39.7,628.77,N,N
ORD202501008766,CUST047266,REST04583,DP08164,01-01-2025 13.19,561.41,96.51,24.43,489.33,Y,N
ORD202501013826,CUST169427,REST02552,DP03869,01-01-2025 13.20,298.64,0,43.3,341.94,Y,N
ORD202501023257,CUST075659,REST01094,DP10714,01-01-2025 13.21,235.74,0,31.67,267.41,Y,N
ORD202501016403,CUST020077,REST09174,DP03991,01-01-2025 13.21,268.92,66.61,22.65,224.96,N,N
ORD202501015609,CUST059153,REST16553,DP06617,01-01-2025 13.21,634.32,93.7,42.27,582.89,Y,N
ORD202501004621,CUST045876,REST08193,DP06956,01-01-2025 13.21,283.94,0,26.52,310.46,Y,N
ORD202501022859,CUST101895,REST05740,DP00254,01-01-2025 13.23,369.13,0,32.68,401.81,N,N
ORD202501007450,CUST028410,REST04855,DP13830,01-01-2025 13.23,516.85,0,28.72,545.57,Y,N
ORD202501008380,CUST025084,REST16020,DP07067,01-01-2025 13.25,413.99,74.6,38.55,377.94,N,N
ORD202501002207,CUST006745,REST08198,DP01837,01-01-2025 13.25,553.96,0,24.49,578.45,Y,N
ORD202501011274,CUST050747,REST04352,DP14904,01-01-2025 13.27,226.34,0,38.55,264.89,N,N
ORD202501005785,CUST121187,REST09052,DP08718,01-01-2025 13.28,259.4,37.32,32.02,254.1,N,N
ORD202501004511,CUST199565,REST09910,DP07343,01-01-2025 13.28,372.23,0,35.82,408.05,N,N
ORD202501010956,CUST063693,REST06022,DP06466,01-01-2025 13.31,238.45,0,36.95,275.39,N,N
ORD202501018378,CUST036284,REST03597,DP08426,01-01-2025 13.31,324.69,0,27.79,352.48,N,N
ORD202501009260,CUST034012,REST17634,DP11348,01-01-2025 13.31,461.45,110.84,37.54,388.16,Y,N
ORD202501019498,CUST105681,REST19058,DP06470,01-01-2025 13.31,442.99,24.32,35.26,453.94,N,N
ORD202501021040,CUST058847,REST10243,DP12880,01-01-2025 13.31,255.38,0,33.63,289.01,N,N
ORD202501006755,CUST111301,REST08243,DP04035,01-01-2025 13.32,222.25,21.29,34.37,235.34,N,N
ORD202501004689,CUST115345,REST17064,DP07859,01-01-2025 13.32,168.74,0,29.32,198.06,Y,N
ORD202501021627,CUST032073,REST04543,,01-01-2025 13.32,0,0,0,0,N,Y
ORD202501010044,CUST113372,REST19660,DP04101,01-01-2025 13.32,372.85,32.22,24.86,365.48,N,N
ORD202501013092,CUST051209,REST13162,DP03210,01-01-2025 13.32,258.9,0,44.2,303.09,N,N
ORD202501004107,CUST167096,REST13530,DP07644,01-01-2025 13.32,214.7,0,28.7,243.41,N,N
ORD202501002550,CUST105651,REST16269,DP06928,01-01-2025 13.33,247.65,0,26.45,274.09,N,N
ORD202501007817,CUST190223,REST17035,DP07317,01-01-2025 13.33,188.42,0,30.69,219.12,Y,N
ORD202501016778,CUST068487,REST18025,DP13939,01-01-2025 13.34,664.31,0,31.1,695.41,Y,N
ORD202501009928,CUST165370,REST15638,DP06527,01-01-2025 13.35,504.11,53.66,29.27,479.71,Y,N
ORD202501003271,CUST030152,REST01355,DP02304,01-01-2025 13.35,193.16,28.43,42.47,207.2,N,N
ORD202501023639,CUST056310,REST05497,DP13601,01-01-2025 13.35,367.2,39.19,31.41,359.42,Y,N
ORD202501002838,CUST075542,REST06049,DP03101,01-01-2025 13.35,713.77,0,25.19,738.97,N,N
ORD202501000678,CUST197216,REST11927,DP02231,01-01-2025 13.36,184.44,0,36.72,221.16,Y,N
ORD202501010154,CUST146039,REST18873,DP00566,01-01-2025 13.36,205.42,0,20.64,226.05,N,N
ORD202501012000,CUST144131,REST00833,DP14554,01-01-2025 13.37,321,0,42.57,363.57,N,N
ORD202501022091,CUST043330,REST17741,DP04203,01-01-2025 13.38,219.69,0,40.06,259.75,Y,N
ORD202501008622,CUST091777,REST19847,DP07072,01-01-2025 13.38,404.48,0,43.14,447.62,N,N
ORD202501018412,CUST193872,REST01693,DP13763,01-01-2025 13.38,0,0,0,0,N,Y
ORD202501019170,CUST017172,REST05722,DP08483,01-01-2025 13.38,247.15,0,20.96,268.11,Y,N
ORD202501014685,CUST160017,REST05137,DP10903,01-01-2025 13.41,295.31,0,37.43,332.74,N,N
ORD202501006314,CUST032354,REST14649,DP01362,01-01-2025 13.41,315.53,57.75,22.89,280.67,N,N
ORD202501004051,CUST146050,REST09803,DP10991,01-01-2025 13.47,321.1,0,35.54,356.64,N,N
ORD202501007932,CUST183286,REST05574,DP01588,01-01-2025 13.48,393.12,0,36.62,429.74,Y,N
ORD202501001202,CUST026510,REST17979,DP12096,01-01-2025 13.49,189.21,0,23.09,212.29,N,N
ORD202501016051,CUST055387,REST05194,DP03193,01-01-2025 13.50,403.33,0,42.9,446.23,N,N
ORD202501005017,CUST107045,REST16776,DP12884,01-01-2025 13.51,383.61,28.16,42.25,397.71,N,N
ORD202501024788,CUST033181,REST00498,DP06739,01-01-2025 13.52,0,0,0,0,Y,Y
ORD202501013517,CUST038375,REST15531,DP12961,01-01-2025 13.53,499.82,0,40.25,540.07,N,N
ORD202501018916,CUST001954,REST07490,DP06195,01-01-2025 13.53,205.36,0,21.8,227.16,N,N
ORD202501011874,CUST014813,REST04601,DP13463,01-01-2025 13.54,288.06,67.81,27.59,247.83,Y,N
ORD202501013738,CUST093346,REST10572,DP14849,01-01-2025 13.54,406.18,0,24.26,430.44,N,N
ORD202501012453,CUST064378,REST17946,DP00982,01-01-2025 13.54,340,56.55,33.62,317.07,N,N
ORD202501018670,CUST019896,REST07288,DP01300,01-01-2025 13.55,178.89,0,31.43,210.32,Y,N
ORD202501022551,CUST181041,REST04933,DP00901,01-01-2025 13.56,367.66,0,32.58,400.24,N,N
ORD202501009099,CUST138810,REST12479,DP02380,01-01-2025 13.56,277.66,0,29.07,306.73,Y,N
ORD202501024112,CUST016967,REST00048,DP12866,01-01-2025 13.56,534.92,53.15,40.8,522.57,N,N
ORD202501019554,CUST069699,REST17913,DP07479,01-01-2025 13.57,900,0,37.52,937.52,N,N
ORD202501006540,CUST036548,REST14281,DP10638,01-01-2025 13.57,219.9,0,43.44,263.34,N,N
ORD202501003256,CUST093105,REST18224,DP03707,01-01-2025 13.58,486.99,99.72,28.85,416.13,N,N
ORD202501006422,CUST094827,REST08789,DP13238,01-01-2025 13.58,393.73,0,30.18,423.9,N,N
ORD202501020172,CUST041622,REST08018,DP01209,01-01-2025 13.59,481.2,0,26.24,507.43,Y,N
ORD202501008574,CUST195153,REST07916,DP07627,01-01-2025 14.00,215.39,0,21.08,236.47,Y,N
ORD202501012804,CUST176778,REST07768,DP04094,01-01-2025 14.00,286.66,19.77,23.87,290.77,N,N
ORD202501024585,CUST174758,REST17577,DP09305,01-01-2025 14.01,172.94,0,23.51,196.45,Y,N
ORD202501006489,CUST102195,REST08685,DP09437,01-01-2025 14.01,314.42,0,34.74,349.16,N,N
ORD202501013923,CUST170103,REST09462,DP12860,01-01-2025 14.01,549.96,109.82,38.44,478.59,N,N
ORD202501003140,CUST104794,REST09809,DP01955,01-01-2025 14.03,235.4,0,23.11,258.51,N,N
ORD202501008567,CUST104217,REST09681,DP09166,01-01-2025 14.04,171.71,0,27.87,199.57,N,N
ORD202501023409,CUST190045,REST00337,DP01303,01-01-2025 14.04,415.3,52.36,23.22,386.15,N,N
ORD202501004825,CUST072739,REST03112,DP05117,01-01-2025 14.05,297.9,52.41,34.53,280.03,Y,N
ORD202501009797,CUST088958,REST14438,DP04008,01-01-2025 14.05,292.22,0,28.25,320.46,Y,N
ORD202501022207,CUST008019,REST07013,DP13086,01-01-2025 14.07,398.09,31.69,42.72,409.12,N,N
ORD202501020855,CUST180546,REST17448,,01-01-2025 14.07,0,0,0,0,N,Y
ORD202501008555,CUST065892,REST07998,DP06092,01-01-2025 14.08,320.22,75.97,28.61,272.85,N,N
ORD202501005990,CUST002913,REST09272,DP09661,01-01-2025 14.09,317.34,23.41,31.28,325.21,N,N
ORD202501012657,CUST198687,REST12101,DP07093,01-01-2025 14.09,275.06,0,26.57,301.63,Y,N
ORD202501002025,CUST178618,REST12431,DP04245,01-01-2025 14.10,455.75,0,23.61,479.37,N,N
ORD202501021445,CUST064510,REST07391,DP02485,01-01-2025 14.11,235.54,0,33.98,269.52,N,N
ORD202501006632,CUST000454,REST07226,DP08358,01-01-2025 14.11,275.27,0,26.54,301.81,N,N
ORD202501009175,CUST192670,REST11536,DP06989,01-01-2025 14.12,309.72,0,28.08,337.8,Y,N
ORD202501018218,CUST163371,REST17443,DP07023,01-01-2025 14.12,338.33,57.93,38.67,319.07,Y,N
ORD202501015270,CUST183203,REST09137,DP08360,01-01-2025 14.12,281.5,0,22.13,303.63,N,N
ORD202501016067,CUST178118,REST10981,DP11767,01-01-2025 14.14,266.8,35.17,21.52,253.15,Y,N
ORD202501004816,CUST017241,REST10479,DP12627,01-01-2025 14.14,334.97,0,20.34,355.32,N,N
ORD202501007785,CUST037805,REST09097,DP00934,01-01-2025 14.14,198.24,22.92,22.12,197.44,Y,N
ORD202501024935,CUST019586,REST06050,DP10676,01-01-2025 14.15,0,0,0,0,Y,Y
ORD202501008376,CUST192086,REST07783,DP12114,01-01-2025 14.16,409.31,0,24.27,433.58,Y,N
ORD202501006097,CUST143871,REST12024,DP08432,01-01-2025 14.17,250.08,12.67,33.5,270.91,N,N
ORD202501007681,CUST158719,REST18099,DP12418,01-01-2025 14.18,245.57,0,40.13,285.7,N,N
ORD202501004704,CUST088546,REST05153,DP05086,01-01-2025 14.18,260.06,0,27.86,287.93,N,N
ORD202501023030,CUST192765,REST15009,DP12542,01-01-2025 14.19,214.31,13.96,30.84,231.19,N,N
ORD202501012450,CUST033503,REST05529,DP07948,01-01-2025 14.19,426.81,0,20.67,447.48,Y,N
ORD202501005986,CUST070313,REST02604,DP10476,01-01-2025 14.20,205.64,46.55,31.16,190.24,N,N
ORD202501014267,CUST005115,REST15230,DP11118,01-01-2025 14.20,440.53,0,27.71,468.24,Y,N
ORD202501024583,CUST018634,REST10387,DP03466,01-01-2025 14.20,284.89,0,27.85,312.74,Y,N
ORD202501007316,CUST193103,REST02708,DP14389,01-01-2025 14.21,123.61,15.59,37.61,145.63,N,N
ORD202501024267,CUST127337,REST03717,DP04639,01-01-2025 14.21,299.74,0,37.4,337.14,N,N
ORD202501018738,CUST163031,REST15990,DP11959,01-01-2025 14.21,0,0,0,0,N,Y
ORD202501007283,CUST170194,REST13234,DP13821,01-01-2025 14.21,314.64,0,32.43,347.07,N,N
ORD202501000850,CUST137402,REST11028,DP13016,01-01-2025 14.22,197.61,24.38,41.33,214.57,N,N
ORD202501012083,CUST189291,REST03458,DP02488,01-01-2025 14.22,360.52,31.01,34.13,363.64,N,N
ORD202501005306,CUST107257,REST05505,DP13415,01-01-2025 14.23,271.79,15.89,28,283.9,N,N
ORD202501001451,CUST169666,REST10651,DP10284,01-01-2025 14.23,406.26,64.53,26.84,368.57,N,N
ORD202501008173,CUST145644,REST18784,DP12552,01-01-2025 14.23,318.15,0,21.57,339.72,N,N
ORD202501000011,CUST013213,REST11602,DP01381,01-01-2025 14.24,358.32,85.45,37.78,310.65,N,N
ORD202501003388,CUST040900,REST17995,DP07007,01-01-2025 14.24,306.62,0,33.03,339.64,Y,N
ORD202501006934,CUST067651,REST15114,DP08403,01-01-2025 14.24,309.7,0,37.28,346.97,N,N
ORD202501022974,CUST104749,REST13885,DP12798,01-01-2025 14.25,175.88,40.47,23.47,158.88,N,N
ORD202501010172,CUST011777,REST05055,DP08476,01-01-2025 14.25,179.84,0,25.23,205.07,N,N
ORD202501003927,CUST122236,REST17887,DP05531,01-01-2025 14.26,351.27,39.12,29.93,342.08,N,N
ORD202501005623,CUST033880,REST14193,DP12546,01-01-2025 14.26,482.92,0,23.67,506.59,N,N
ORD202501003608,CUST096402,REST02397,DP10089,01-01-2025 14.26,303.27,0,32.45,335.72,N,N
ORD202501008401,CUST139202,REST09632,DP07623,01-01-2025 14.27,294.02,0,30.24,324.25,N,N
ORD202501013919,CUST015712,REST09698,DP10831,01-01-2025 14.27,183.92,0,40.28,224.21,N,N
ORD202501000656,CUST120679,REST04024,DP05721,01-01-2025 14.28,264.3,23.72,43.15,283.72,N,N
ORD202501003334,CUST127494,REST07150,DP11684,01-01-2025 14.28,229.55,0,27.51,257.06,N,N
